skill_name,learn,slip,guess
bangun_ruang,0.15,0.05,0.1
barisan_deret,0.15,0.05,0.1
eksponen_logaritma,0.15,0.05,0.1
fungsi_kuadrat,0.15,0.05,0.1
himpunan,0.15,0.05,0.1
integral,0.15,0.05,0.1
matriks,0.15,0.05,0.1
peluang_dasar,0.15,0.05,0.1
persamaan_linear_satu_variabel,0.15,0.05,0.1
teorema_pythagoras,0.15,0.05,0.1
trigonometri,0.15,0.05,0.1
turunan,0.15,0.05,0.1
aljabar_dasar,0.15,0.05,0.1
limit,0.15,0.05,0.1
perbandingan,0.15,0.05,0.1
sistem_persamaan_linear,0.15,0.05,0.1
statistika_dasar,0.15,0.05,0.1
aritmatika_sosial,0.15,0.05,0.1
bilangan_bulat,0.15,0.05,0.1
