skill,param,class,value
Aljabar Dasar,prior,default,
Aljabar Dasar,learns,default,1.0
Aljabar Dasar,guesses,default,0.5
Aljabar Dasar,slips,default,0.5
Aljabar Dasar,forgets,default,0.0
Persamaan Linear,prior,default,
Persamaan Linear,learns,default,1.0
Persamaan Linear,guesses,default,0.5
Persamaan Linear,slips,default,0.5
Persamaan Linear,forgets,default,0.0
Pertidaksamaan Linear,prior,default,
Pertidaksamaan Linear,learns,default,1.0
Pertidaksamaan Linear,guesses,default,0.5
Pertidaksamaan Linear,slips,default,0.5
Pertidaksamaan Linear,forgets,default,0.0
Sistem Persamaan,prior,default,
Sistem Persamaan,learns,default,1.0
Sistem Persamaan,guesses,default,0.5
Sistem Persamaan,slips,default,0.5
Sistem Persamaan,forgets,default,0.0
Fungsi Kuadrat,prior,default,
Fungsi Kuadrat,learns,default,1.0
Fungsi Kuadrat,guesses,default,0.5
Fungsi Kuadrat,slips,default,0.5
Fungsi Kuadrat,forgets,default,0.0
Aritmatika Sosial,prior,default,
Aritmatika Sosial,learns,default,1.0
Aritmatika Sosial,guesses,default,0.5
Aritmatika Sosial,slips,default,0.5
Aritmatika Sosial,forgets,default,0.0
Teorema Pythagoras,prior,default,
Teorema Pythagoras,learns,default,1.0
Teorema Pythagoras,guesses,default,0.5
Teorema Pythagoras,slips,default,0.5
Teorema Pythagoras,forgets,default,0.0
Bangun Ruang Sisi Datar,prior,default,
Bangun Ruang Sisi Datar,learns,default,1.0
Bangun Ruang Sisi Datar,guesses,default,0.5
Bangun Ruang Sisi Datar,slips,default,0.5
Bangun Ruang Sisi Datar,forgets,default,0.0
Bangun Ruang Sisi Lengkung,prior,default,
Bangun Ruang Sisi Lengkung,learns,default,1.0
Bangun Ruang Sisi Lengkung,guesses,default,0.5
Bangun Ruang Sisi Lengkung,slips,default,0.5
Bangun Ruang Sisi Lengkung,forgets,default,0.0
Statistika Dasar,prior,default,
Statistika Dasar,learns,default,1.0
Statistika Dasar,guesses,default,0.5
Statistika Dasar,slips,default,0.5
Statistika Dasar,forgets,default,0.0
Peluang,prior,default,
Peluang,learns,default,1.0
Peluang,guesses,default,0.5
Peluang,slips,default,0.5
Peluang,forgets,default,0.0
Logaritma,prior,default,
Logaritma,learns,default,1.0
Logaritma,guesses,default,0.5
Logaritma,slips,default,0.5
Logaritma,forgets,default,0.0
Trigonometri Dasar,prior,default,
Trigonometri Dasar,learns,default,1.0
Trigonometri Dasar,guesses,default,0.5
Trigonometri Dasar,slips,default,0.5
Trigonometri Dasar,forgets,default,0.0
Matriks,prior,default,
Matriks,learns,default,1.0
Matriks,guesses,default,0.5
Matriks,slips,default,0.5
Matriks,forgets,default,0.0
Vektor,prior,default,
Vektor,learns,default,1.0
Vektor,guesses,default,0.5
Vektor,slips,default,0.5
Vektor,forgets,default,0.0
Transformasi Geometri,prior,default,
Transformasi Geometri,learns,default,1.0
Transformasi Geometri,guesses,default,0.5
Transformasi Geometri,slips,default,0.5
Transformasi Geometri,forgets,default,0.0
Barisan dan Deret,prior,default,
Barisan dan Deret,learns,default,1.0
Barisan dan Deret,guesses,default,0.5
Barisan dan Deret,slips,default,0.5
Barisan dan Deret,forgets,default,0.0
Limit Fungsi,prior,default,
Limit Fungsi,learns,default,1.0
Limit Fungsi,guesses,default,0.5
Limit Fungsi,slips,default,0.5
Limit Fungsi,forgets,default,0.0
Turunan Dasar,prior,default,
Turunan Dasar,learns,default,1.0
Turunan Dasar,guesses,default,0.5
Turunan Dasar,slips,default,0.5
Turunan Dasar,forgets,default,0.0
Integral Dasar,prior,default,
Integral Dasar,learns,default,1.0
Integral Dasar,guesses,default,0.5
Integral Dasar,slips,default,0.5
Integral Dasar,forgets,default,0.0
