student_id,unmastered_count,baseline_attempts,pso_attempts,efficiency_percent,is_penalized,recommended_path
1.0,18,244,232,4.92,0,bilangan_bulat -> aljabar_dasar -> aritmatika_sosial -> perbandingan -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> trigonometri -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
2.0,17,235,223,5.11,0,bilangan_bulat -> persamaan_linear_satu_variabel -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> eksponen_logaritma -> bangun_ruang -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
3.0,17,234,228,2.56,0,persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> peluang_dasar -> sistem_persamaan_linear -> matriks -> barisan_deret -> trigonometri -> fungsi_kuadrat -> limit -> turunan -> integral
4.0,15,205,193,5.85,0,perbandingan -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> peluang_dasar -> statistika_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
5.0,16,220,208,5.45,0,perbandingan -> aritmatika_sosial -> himpunan -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> teorema_pythagoras -> trigonometri -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
6.0,16,213,207,2.82,0,perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> fungsi_kuadrat -> sistem_persamaan_linear -> matriks -> barisan_deret -> limit -> turunan -> integral
7.0,16,207,194,6.28,0,statistika_dasar -> perbandingan -> himpunan -> aritmatika_sosial -> teorema_pythagoras -> trigonometri -> peluang_dasar -> barisan_deret -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral
8.0,16,212,200,5.66,0,persamaan_linear_satu_variabel -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> trigonometri -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
9.0,19,248,236,4.84,0,bilangan_bulat -> aljabar_dasar -> persamaan_linear_satu_variabel -> aritmatika_sosial -> perbandingan -> himpunan -> statistika_dasar -> bangun_ruang -> peluang_dasar -> teorema_pythagoras -> trigonometri -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> barisan_deret -> fungsi_kuadrat -> limit -> turunan -> integral
10.0,19,247,237,4.05,0,bilangan_bulat -> aljabar_dasar -> barisan_deret -> persamaan_linear_satu_variabel -> perbandingan -> aritmatika_sosial -> himpunan -> teorema_pythagoras -> statistika_dasar -> peluang_dasar -> bangun_ruang -> eksponen_logaritma -> sistem_persamaan_linear -> matriks -> fungsi_kuadrat -> limit -> turunan -> integral -> trigonometri
