id,teacher_id,baseline,learn_rate,slip,guess,fatigue
1,1,0.6993428306022466,0.1,0.15,0.25,0.0
2,8,0.572347139765763,0.1,0.15,0.25,0.0
3,4,0.7295377076201385,0.15,0.05,0.1,0.0
4,18,0.904605971281605,0.1,0.15,0.25,0.0
5,14,0.5531693250553328,0.15,0.05,0.1,0.0
6,3,0.5531726086101638,0.15,0.05,0.1,0.0
7,17,0.9158425631014783,0.15,0.05,0.1,0.0
8,18,0.7534869458305817,0.1,0.15,0.25,0.0
9,18,0.5061051228130096,0.15,0.05,0.1,0.0
10,15,0.7085120087171929,0.05,0.1,0.2,0.0
11,1,0.5073164614375075,0.05,0.1,0.2,0.0
12,6,0.5068540492859486,0.1,0.15,0.25,0.0
13,11,0.6483924543132068,0.1,0.15,0.25,0.0
14,7,0.2173439510684404,0.15,0.05,0.1,0.0
15,11,0.2550164334973934,0.08,0.1,0.35,0.0
16,13,0.48754249415180545,0.15,0.05,0.1,0.0
17,12,0.39743377593311524,0.15,0.05,0.1,0.0
18,2,0.6628494665190547,0.1,0.15,0.25,0.0
19,18,0.4183951848957578,0.1,0.15,0.25,0.0
20,13,0.31753925973294167,0.15,0.05,0.1,0.0
21,10,0.8931297537843108,0.15,0.05,0.1,0.0
22,20,0.5548447399026928,0.08,0.1,0.35,0.0
23,12,0.6135056409375848,0.08,0.1,0.35,0.0
24,3,0.31505036275730863,0.05,0.1,0.2,0.0
25,8,0.49112345509496347,0.15,0.05,0.1,0.0
26,3,0.6221845179419732,0.1,0.15,0.25,0.0
27,4,0.3698012845155394,0.08,0.1,0.35,0.0
28,15,0.6751396036691344,0.05,0.1,0.2,0.0
29,12,0.479872262016239,0.1,0.15,0.25,0.0
30,12,0.5416612500413446,0.15,0.05,0.1,0.0
31,9,0.4796586775541206,0.15,0.05,0.1,0.0
32,3,0.95,0.1,0.15,0.25,0.0
33,6,0.5973005550524132,0.1,0.15,0.25,0.0
34,8,0.38845781420881986,0.05,0.1,0.2,0.0
35,13,0.7645089824206378,0.15,0.05,0.1,0.0
36,18,0.3558312700057955,0.15,0.05,0.1,0.0
37,11,0.641772719000951,0.15,0.05,0.1,0.0
38,2,0.20806597522404485,0.08,0.1,0.35,0.0
39,2,0.33436279022031384,0.15,0.05,0.1,0.0
40,13,0.6393722471738247,0.08,0.1,0.35,0.0
41,7,0.7476933159990821,0.15,0.05,0.1,0.0
42,19,0.634273656237994,0.08,0.1,0.35,0.0
43,11,0.5768703435223519,0.08,0.1,0.35,0.0
44,16,0.5397792608821422,0.15,0.05,0.1,0.0
