lesson_log_id,student_id,score,understanding,focus
1,1.0,99,0.99,0.8852355095063282
2,1.0,85,0.85,0.4202864852361717
3,1.0,75,0.75,0.5698714861756345
4,1.0,71,0.71,0.5815212151522261
5,1.0,71,0.71,0.7097043255889653
6,1.0,49,0.49,0.7540913651559678
7,1.0,40,0.4,0.652210390626718
8,1.0,57,0.57,0.5846457338863333
9,1.0,40,0.4,0.8001834375248761
10,1.0,57,0.57,0.7198664610858452
11,1.0,55,0.55,0.36611894377572557
12,1.0,55,0.55,0.5674752482108306
13,1.0,31,0.31,0.5473481686914966
14,1.0,50,0.5,0.3744915124233674
15,1.0,40,0.4,0.7519445003442964
16,1.0,33,0.33,0.8277184917554747
17,1.0,37,0.37,0.6867840402705366
18,1.0,50,0.5,0.569632778439568
19,1.0,46,0.46,0.5279173269432095
20,1.0,74,0.74,0.9012585618428881
21,1.0,38,0.38,0.8671384224130283
22,1.0,64,0.64,0.8059608355830565
23,1.0,42,0.42,0.20567109997454208
24,1.0,47,0.47,0.815414425436108
25,1.0,73,0.73,0.7742291746742618
26,1.0,48,0.48,0.7173179574945799
27,1.0,52,0.52,0.9335564123319614
28,1.0,45,0.45,0.7675205324150404
29,1.0,45,0.45,0.6024787551855012
30,1.0,45,0.45,0.7788904284756594
31,1.0,70,0.7,0.7579549713792826
32,1.0,46,0.46,0.8742249406863385
33,1.0,75,0.75,0.940242784432789
34,1.0,69,0.69,0.29237509296442915
35,1.0,76,0.76,0.3258416157948288
36,1.0,96,0.96,0.7036836758379102
37,1.0,77,0.77,0.7653854747528325
38,1.0,57,0.57,0.8658811162366978
39,1.0,57,0.57,0.7471229116217132
40,2.0,91,0.91,0.40428275084403165
41,2.0,75,0.75,0.7676992814988828
42,2.0,72,0.72,0.826556373221257
43,2.0,52,0.52,0.736373251011699
44,2.0,41,0.41,0.6081278200919511
45,2.0,41,0.41,0.866067163308849
46,2.0,45,0.45,0.7143132474438785
47,2.0,83,0.83,0.7957959651492783
48,2.0,44,0.44,0.9075079888515798
49,2.0,70,0.7,0.6460250129413257
50,2.0,83,0.83,0.6111413479847776
51,2.0,40,0.4,0.8513977233290704
52,2.0,93,0.93,0.8739211840211321
53,2.0,98,0.98,0.7826869806447401
54,2.0,37,0.37,0.5452421601792854
55,2.0,64,0.64,0.34425595021914424
56,2.0,79,0.79,0.8308731312708115
57,2.0,38,0.38,0.755993725263964
58,2.0,81,0.81,1.0
59,2.0,57,0.57,0.7218789589209785
60,2.0,52,0.52,0.7962018463473426
61,2.0,54,0.54,0.5419051089109376
62,2.0,93,0.93,1.0
63,2.0,44,0.44,1.0
64,2.0,78,0.78,0.5020790359482837
65,2.0,60,0.6,0.7111449824577388
66,2.0,65,0.65,0.3615070740570361
67,2.0,45,0.45,0.668398420284202
68,2.0,33,0.33,0.4975791249479664
69,2.0,80,0.8,0.8646341167923829
70,2.0,67,0.67,0.4420078200517892
71,2.0,66,0.66,0.6328430601419743
72,2.0,34,0.34,0.648081729727279
73,2.0,47,0.47,0.6508513871828111
74,2.0,49,0.49,0.2
75,2.0,56,0.56,0.6538130939582644
76,2.0,91,0.91,1.0
77,2.0,68,0.68,0.6462222618890339
78,2.0,50,0.5,1.0
79,2.0,79,0.79,0.7027858583825892
80,2.0,78,0.78,0.7396169521535709
81,2.0,44,0.44,0.5852675986239527
82,2.0,44,0.44,0.6934493459568003
83,2.0,51,0.51,0.5574308434645671
84,2.0,65,0.65,0.6490045565158289
85,2.0,60,0.6,0.2
86,2.0,29,0.29,0.9492170384995258
87,2.0,46,0.46,0.6314624811839302
88,2.0,42,0.42,0.4184976610564357
89,2.0,97,0.97,0.4778848309068342
90,2.0,62,0.62,0.8871356786294922
91,2.0,68,0.68,0.844334412808647
92,2.0,54,0.54,0.5950959467440452
93,2.0,87,0.87,0.45557443822161087
94,2.0,46,0.46,0.651934920368373
95,2.0,54,0.54,0.8421919936406983
96,2.0,61,0.61,0.627806766836184
97,2.0,86,0.86,0.4837873344800205
98,2.0,76,0.76,0.8186202515936767
99,2.0,67,0.67,0.7652266044484235
100,2.0,78,0.78,0.8848054038413802
101,3.0,90,0.9,0.595455395896192
102,3.0,65,0.65,0.5591312618914481
103,3.0,86,0.86,0.3886741652952192
104,3.0,97,0.97,0.4439141295007433
105,3.0,96,0.96,0.2836141184232555
106,3.0,79,0.79,0.7422034934405236
107,3.0,83,0.83,0.59101618263821
108,3.0,61,0.61,0.6924730595150302
109,3.0,51,0.51,0.7228455297324079
110,3.0,49,0.49,0.6272775575572288
111,3.0,32,0.32,0.7615603537784118
112,3.0,57,0.57,0.43036291557885736
113,3.0,48,0.48,0.7341730876255883
