student_id,skill,p_knowledge_true,p_guess,p_slip,lesson_log_id,timestamp
1.0,penjumlahan,1,0.1,0.05,1,2026-01-01
1.0,penjumlahan,1,0.1,0.05,2,2026-01-03
1.0,penjumlahan,1,0.1,0.05,3,2026-01-05
1.0,penjumlahan,1,0.1,0.05,4,2026-01-07
1.0,penjumlahan,1,0.1,0.05,5,2026-01-09
1.0,penjumlahan,0,0.1,0.05,6,2026-01-11
1.0,penjumlahan,0,0.1,0.05,7,2026-01-13
1.0,pengurangan,0,0.1,0.05,8,2026-01-16
1.0,pengurangan,0,0.1,0.05,9,2026-01-18
1.0,pengurangan,0,0.1,0.05,10,2026-01-20
1.0,pengurangan,0,0.1,0.05,11,2026-01-22
1.0,pengurangan,0,0.1,0.05,12,2026-01-25
1.0,pembagian,0,0.1,0.05,13,2026-01-26
1.0,pembagian,0,0.1,0.05,14,2026-01-27
1.0,pembagian,0,0.1,0.05,15,2026-01-30
1.0,pembagian,0,0.1,0.05,16,2026-02-02
1.0,pembagian,0,0.1,0.05,17,2026-02-05
1.0,pembagian,0,0.1,0.05,18,2026-02-07
1.0,pembagian,0,0.1,0.05,19,2026-02-09
1.0,pembagian,0,0.1,0.05,20,2026-02-10
1.0,limit,0,0.1,0.05,21,2026-02-11
1.0,limit,0,0.1,0.05,22,2026-02-13
1.0,limit,0,0.1,0.05,23,2026-02-16
1.0,limit,1,0.1,0.05,24,2026-02-18
1.0,limit,1,0.1,0.05,25,2026-02-21
1.0,turunan,0,0.1,0.05,26,2026-02-24
1.0,turunan,0,0.1,0.05,27,2026-02-25
1.0,turunan,0,0.1,0.05,28,2026-02-27
1.0,turunan,0,0.1,0.05,29,2026-03-02
1.0,turunan,0,0.1,0.05,30,2026-03-05
1.0,turunan,0,0.1,0.05,31,2026-03-08
1.0,turunan,0,0.1,0.05,32,2026-03-09
1.0,integral,1,0.1,0.05,33,2026-03-11
1.0,integral,1,0.1,0.05,34,2026-03-12
1.0,integral,1,0.1,0.05,35,2026-03-15
1.0,integral,1,0.1,0.05,36,2026-03-18
1.0,integral,1,0.1,0.05,37,2026-03-19
1.0,integral,1,0.1,0.05,38,2026-03-21
1.0,integral,1,0.1,0.05,39,2026-03-24
2.0,penjumlahan,1,0.25,0.15,40,2026-01-01
2.0,penjumlahan,1,0.25,0.15,41,2026-01-04
2.0,penjumlahan,1,0.25,0.15,42,2026-01-05
2.0,penjumlahan,0,0.25,0.15,43,2026-01-08
2.0,penjumlahan,0,0.25,0.15,44,2026-01-09
2.0,penjumlahan,0,0.25,0.15,45,2026-01-10
2.0,pengurangan,1,0.25,0.15,46,2026-01-11
2.0,pengurangan,1,0.25,0.15,47,2026-01-13
2.0,pengurangan,1,0.25,0.15,48,2026-01-16
2.0,pengurangan,1,0.25,0.15,49,2026-01-18
2.0,pengurangan,1,0.25,0.15,50,2026-01-19
2.0,pengurangan,0,0.25,0.15,51,2026-01-22
2.0,perkalian,1,0.25,0.15,52,2026-01-25
2.0,perkalian,1,0.25,0.15,53,2026-01-28
2.0,perkalian,1,0.25,0.15,54,2026-01-30
2.0,perkalian,1,0.25,0.15,55,2026-02-02
2.0,perkalian,1,0.25,0.15,56,2026-02-05
2.0,pembagian,0,0.25,0.15,57,2026-02-07
2.0,pembagian,0,0.25,0.15,58,2026-02-08
2.0,pembagian,0,0.25,0.15,59,2026-02-11
2.0,pembagian,0,0.25,0.15,60,2026-02-14
2.0,pembagian,0,0.25,0.15,61,2026-02-15
2.0,pembagian,0,0.25,0.15,62,2026-02-17
2.0,pembagian,0,0.25,0.15,63,2026-02-19
2.0,pecahan,0,0.25,0.15,64,2026-02-20
2.0,pecahan,0,0.25,0.15,65,2026-02-21
2.0,pecahan,0,0.25,0.15,66,2026-02-22
2.0,pecahan,0,0.25,0.15,67,2026-02-25
2.0,pecahan,0,0.25,0.15,68,2026-02-27
2.0,fungsi,0,0.25,0.15,69,2026-03-01
2.0,fungsi,0,0.25,0.15,70,2026-03-03
2.0,fungsi,0,0.25,0.15,71,2026-03-06
2.0,fungsi,0,0.25,0.15,72,2026-03-09
2.0,fungsi,0,0.25,0.15,73,2026-03-12
2.0,fungsi,0,0.25,0.15,74,2026-03-15
2.0,fungsi,0,0.25,0.15,75,2026-03-18
2.0,fungsi,1,0.25,0.15,76,2026-03-20
2.0,fungsi,1,0.25,0.15,77,2026-03-22
2.0,limit,0,0.25,0.15,78,2026-03-23
2.0,limit,0,0.25,0.15,79,2026-03-24
2.0,limit,0,0.25,0.15,80,2026-03-26
2.0,limit,0,0.25,0.15,81,2026-03-28
2.0,limit,0,0.25,0.15,82,2026-03-31
2.0,limit,0,0.25,0.15,83,2026-04-01
2.0,turunan,0,0.25,0.15,84,2026-04-04
2.0,turunan,0,0.25,0.15,85,2026-04-06
2.0,turunan,0,0.25,0.15,86,2026-04-08
2.0,turunan,0,0.25,0.15,87,2026-04-11
2.0,turunan,0,0.25,0.15,88,2026-04-13
2.0,turunan,0,0.25,0.15,89,2026-04-16
2.0,turunan,0,0.25,0.15,90,2026-04-17
2.0,turunan,0,0.25,0.15,91,2026-04-19
2.0,integral,0,0.25,0.15,92,2026-04-22
