id,teacher_id,baseline,learn_rate,slip,guess
1,1,0.6993428306022466,0.15,0.05,0.1
2,8,0.572347139765763,0.1,0.15,0.25
3,5,0.7295377076201385,0.05,0.1,0.2
4,18,0.904605971281605,0.15,0.05,0.1
5,19,0.5531693250553328,0.15,0.05,0.1
6,2,0.5531726086101638,0.08,0.1,0.35
7,3,0.9158425631014783,0.15,0.05,0.1
8,8,0.7534869458305817,0.05,0.1,0.2
9,18,0.5061051228130096,0.15,0.05,0.1
10,18,0.7085120087171929,0.05,0.1,0.2
11,8,0.5073164614375075,0.08,0.1,0.35
12,19,0.5068540492859486,0.08,0.1,0.35
13,1,0.6483924543132068,0.1,0.15,0.25
14,14,0.2173439510684404,0.05,0.1,0.2
15,9,0.2550164334973934,0.1,0.15,0.25
16,7,0.48754249415180545,0.05,0.1,0.2
17,4,0.39743377593311524,0.1,0.15,0.25
18,13,0.6628494665190547,0.15,0.05,0.1
19,12,0.4183951848957578,0.15,0.05,0.1
20,20,0.31753925973294167,0.1,0.15,0.25
21,2,0.8931297537843108,0.1,0.15,0.25
22,18,0.5548447399026928,0.08,0.1,0.35
23,13,0.6135056409375848,0.15,0.05,0.1
24,18,0.31505036275730863,0.15,0.05,0.1
25,20,0.49112345509496347,0.1,0.15,0.25
26,19,0.6221845179419732,0.1,0.15,0.25
27,3,0.3698012845155394,0.05,0.1,0.2
28,8,0.6751396036691344,0.15,0.05,0.1
29,3,0.479872262016239,0.1,0.15,0.25
30,4,0.5416612500413446,0.05,0.1,0.2
31,9,0.4796586775541206,0.08,0.1,0.35
32,12,0.95,0.08,0.1,0.35
33,12,0.5973005550524132,0.05,0.1,0.2
34,7,0.38845781420881986,0.1,0.15,0.25
35,3,0.7645089824206378,0.1,0.15,0.25
36,18,0.3558312700057955,0.05,0.1,0.2
37,6,0.641772719000951,0.05,0.1,0.2
38,13,0.20806597522404485,0.08,0.1,0.35
39,18,0.33436279022031384,0.1,0.15,0.25
40,11,0.6393722471738247,0.05,0.1,0.2
41,8,0.7476933159990821,0.15,0.05,0.1
42,11,0.634273656237994,0.15,0.05,0.1
43,9,0.5768703435223519,0.08,0.1,0.35
44,7,0.5397792608821422,0.15,0.05,0.1
45,7,0.3042956019265145,0.1,0.15,0.25
46,13,0.4560311583210582,0.08,0.1,0.35
47,5,0.5078722458080425,0.08,0.1,0.35
48,5,0.8114244452437831,0.1,0.15,0.25
49,18,0.6687236579136923,0.05,0.1,0.2
50,19,0.2473919689274532,0.1,0.15,0.25
51,19,0.664816793878959,0.08,0.1,0.35
52,12,0.5229835439167366,0.08,0.1,0.35
53,5,0.4646155999388082,0.05,0.1,0.2
54,3,0.7223352577681735,0.08,0.1,0.35
55,4,0.8061999044991902,0.15,0.05,0.1
56,6,0.7862560238232397,0.05,0.1,0.2
57,20,0.4321564953554723,0.08,0.1,0.35
58,13,0.5381575248297571,0.15,0.05,0.1
59,20,0.6662526862807128,0.08,0.1,0.35
60,17,0.7951090254244718,0.08,0.1,0.35
